location,median_age,human_development_index,gdp_per_capita,total_deaths_per_million
Afghanistan,18.6,0.511,1803.99,197.10
Albania,38,0.795,11803.43,1274.93
Algeria,29.1,0.748,13913.84,151.31
American Samoa,,,,702.99
Andorra,,0.868,,1994.43
Angola,16.8,0.581,5819.50,54.36
Anguilla,,,,844.95
Antigua and Barbuda,32.1,0.778,21490.94,1572.41
Argentina,31.9,0.845,18933.91,2877.54
Armenia,35.7,0.776,8787.58,3046.64
Aruba,41.2,,35973.78,2708.92
Australia,37.9,0.944,44648.71,963.17
Austria,44.4,0.922,45436.69,2485.91
Azerbaijan,32.4,0.756,15847.42,1005.60
Bahamas,34.3,0.814,27717.85,2135.61
Bahrain,32.4,0.852,43290.71,1001.66
Bangladesh,27.5,0.632,3523.98,174.15
Barbados,39.8,0.814,16978.07,2100.42
Belarus,40.3,0.823,17167.97,775.95
Belgium,41.8,0.931,42658.58,2949.63
Belize,25,0.716,7824.36,1708.29
Benin,18.8,0.545,2064.24,11.85
Bermuda,,,50669.32,2547.40
Bhutan,28.6,0.654,8708.60,26.89
Bolivia,25.4,0.718,6885.83,1853.67
Bonaire Sint Eustatius and Saba,,,,1430.87
Bosnia and Herzegovina,42.5,0.78,11713.90,5114.82
Botswana,25.8,0.735,15807.37,1148.00
Brazil,33.5,0.765,14103.45,3338.54
British Virgin Islands,,,,1669.10
Brunei,32.4,0.838,71809.25,393.08
Bulgaria,44.7,0.816,18563.31,5669.61
Burkina Faso,17.6,0.452,1703.10,17.77
Burundi,17.5,0.433,702.23,1.13
Cambodia,25.6,0.594,3645.07,177.66
Cameroon,18.8,0.563,3364.93,71.44
Canada,41.4,0.929,44017.59,1424.01
Cape Verde,25.7,0.665,6222.55,802.31
Cayman Islands,,,49903.03,516.70
Central African Republic,18.3,0.397,661.24,22.17
Chad,16.7,0.398,1768.15,10.51
Chile,35.4,0.851,22767.04,3297.80
China,38.7,0.761,15308.71,85.82
Colombia,32.2,0.767,13254.95,2758.65
Comoros,20.4,0.554,1413.89,191.80
Congo,19,0.574,4881.41,64.46
Cook Islands,,,,135.62
Costa Rica,33.6,0.81,15525.00,1844.24
